nohup: ignoring input
cobol2rust scan: repos/ (workers: 24, batch: 100)
  Discovering files...
  Found 280274 files (240538 source, 28862 copybooks, 10874 JCL)

=== Phase 1: Inventory ===
  Registering 280274 files in database...
  Registration complete (280274 files indexed)
  Phase 1: 240538 files to parse (0 skipped)
line 314:35 token recognition error at: ']'
line 314:47 token recognition error at: '!'
line 253:64 token recognition error at: '['
line 258:64 token recognition error at: ']'
line 234:59 token recognition error at: '\'
line 300:59 token recognition error at: '?'
line 300:61 token recognition error at: '['
line 559:59 token recognition error at: '\'
line 323:62 token recognition error at: '?'
line 323:64 token recognition error at: '['
line 625:49 token recognition error at: ']'
line 661:50 token recognition error at: ']'
line 1163:47 token recognition error at: ']'
line 39:2 token recognition error at: '#'
line 39:3 token recognition error at: '#'
line 39:4 token recognition error at: '#'
line 39:5 token recognition error at: '#'
line 39:6 token recognition error at: '#'
line 39:7 token recognition error at: '#'
line 39:8 token recognition error at: '#'
line 39:9 token recognition error at: '#'
line 39:10 token recognition error at: '#'
line 39:11 token recognition error at: '#'
line 39:12 token recognition error at: '#'
line 39:13 token recognition error at: '#'
line 39:14 token recognition error at: '#'
line 39:15 token recognition error at: '#'
line 39:16 token recognition error at: '#'
line 39:17 token recognition error at: '#'
line 39:18 token recognition error at: '#'
line 39:19 token recognition error at: '#'
line 39:20 token recognition error at: '#'
line 39:21 token recognition error at: '#'
line 39:22 token recognition error at: '#'
line 39:23 token recognition error at: '#'
line 39:24 token recognition error at: '#'
line 39:25 token recognition error at: '#'
line 39:26 token recognition error at: '#'
line 39:27 token recognition error at: '#'
line 39:28 token recognition error at: '#'
line 39:29 token recognition error at: '#'
line 39:30 token recognition error at: '#'
line 39:31 token recognition error at: '#'
line 39:32 token recognition error at: '#'
line 39:33 token recognition error at: '#'
line 39:34 token recognition error at: '#'
line 39:35 token recognition error at: '#'
line 39:36 token recognition error at: '#'
line 39:37 token recognition error at: '#'
line 39:38 token recognition error at: '#'
line 39:39 token recognition error at: '#'
line 39:40 token recognition error at: '#'
line 39:41 token recognition error at: '#'
line 39:42 token recognition error at: '#'
line 39:43 token recognition error at: '#'
line 39:44 token recognition error at: '#'
line 39:45 token recognition error at: '#'
line 39:46 token recognition error at: '#'
line 39:47 token recognition error at: '#'
line 39:48 token recognition error at: '#'
line 39:49 token recognition error at: '#'
line 39:50 token recognition error at: '#'
line 39:51 token recognition error at: '#'
line 39:52 token recognition error at: '#'
line 39:53 token recognition error at: '#'
line 39:54 token recognition error at: '#'
line 39:55 token recognition error at: '#'
line 39:56 token recognition error at: '#'
line 40:2 token recognition error at: '#'
line 40:3 token recognition error at: '#'
line 40:4 token recognition error at: '#'
line 40:5 token recognition error at: '#'
line 40:6 token recognition error at: '#'
line 40:7 token recognition error at: '#'
line 40:8 token recognition error at: '#'
line 40:9 token recognition error at: '#'
line 40:10 token recognition error at: '#'
line 40:11 token recognition error at: '#'
line 40:12 token recognition error at: '#'
line 40:13 token recognition error at: '#'
line 40:14 token recognition error at: '#'
line 40:15 token recognition error at: '#'
line 40:16 token recognition error at: '#'
line 40:17 token recognition error at: '#'
line 40:18 token recognition error at: '#'
line 40:19 token recognition error at: '#'
line 40:20 token recognition error at: '#'
line 40:21 token recognition error at: '#'
line 40:22 token recognition error at: '#'
line 40:23 token recognition error at: '#'
line 40:24 token recognition error at: '#'
line 40:25 token recognition error at: '#'
line 40:26 token recognition error at: '#'
line 40:27 token recognition error at: '#'
line 40:28 token recognition error at: '#'
line 40:29 token recognition error at: '#'
line 40:30 token recognition error at: '#'
line 40:31 token recognition error at: '#'
line 40:32 token recognition error at: '#'
line 40:33 token recognition error at: '#'
line 40:34 token recognition error at: '#'
line 40:35 token recognition error at: '#'
line 40:36 token recognition error at: '#'
line 40:37 token recognition error at: '#'
line 40:38 token recognition error at: '#'
line 40:39 token recognition error at: '#'
line 40:40 token recognition error at: '#'
line 40:41 token recognition error at: '#'
line 55:2 token recognition error at: '#'
line 40:42 token recognition error at: '#'
line 55:3 token recognition error at: '#'
line 40:43 token recognition error at: '#'
line 40:44 token recognition error at: '#'
line 55:4 token recognition error at: '#'
line 40:45 token recognition error at: '#'
line 55:5 token recognition error at: '#'
line 40:46 token recognition error at: '#'
line 55:6 token recognition error at: '#'
line 55:7 token recognition error at: '#'
line 40:47 token recognition error at: '#'
line 40:48 token recognition error at: '#'
line 40:49 token recognition error at: '#'
line 55:8 token recognition error at: '#'
line 40:50 token recognition error at: '#'
line 40:51 token recognition error at: '#'
line 55:9 token recognition error at: '#'
line 55:10 token recognition error at: '#'
line 55:11 token recognition error at: '#'
line 40:52 token recognition error at: '#'
line 55:12 token recognition error at: '#'
line 55:13 token recognition error at: '#'
line 40:53 token recognition error at: '#'
line 55:14 token recognition error at: '#'
line 40:54 token recognition error at: '#'
line 55:15 token recognition error at: '#'
line 40:55 token recognition error at: '#'
